"";"";"";"";"papelão";""
"1";"papelão";"-1.98836795940359";"-1.37231742007596";"1.11047944808395";"107"
"2";"enigma";"-1.98836795940359";"-1.37231742007596";"1.11047944808395";"109"
"3";"livros_razões";"-1.98836795940359";"-1.37231742007596";"1.11047944808395";"111"
"4";"pedreira";"-1.98836795940359";"-1.37231742007596";"1.07919299669546";"135"
"5";"investir";"-1.98836795940359";"-1.37231742007596";"1.04795756275726";"179"
"6";"aposentadoria";"-1.98836795940359";"-1.37231742007596";"1.04795756275726";"183"
"7";"assédio";"-0.23297977430283";"2.16211215436054";"1.04479448083947";"193"
"8";"manifestação";"-0.18257821144959";"2.20412383200265";"1.03063713838483";"205"
"9";"diversão";"-0.18257821144959";"2.20412383200265";"1.03063713838483";"207"
"10";"usuário";"-1.59346446648037";"-1.36115202571071";"1.0288005101745";"212"
"11";"moeda";"-1.59346446648037";"-1.36115202571071";"1.0288005101745";"214"
"12";"formato";"0.11983116566985";"2.45619389785533";"1.01887761609369";"230"
"13";"montar";"0.11983116566985";"2.45619389785533";"1.01887761609369";"236"
"14";"metrópole";"0.11983116566985";"2.45619389785533";"1.01887761609369";"237"
"15";"humorista";"0.11983116566985";"2.45619389785533";"1.01887761609369";"239"
"16";"emocional";"0.11983116566985";"2.45619389785533";"1.01887761609369";"241"
"17";"copacabana";"0.11983116566985";"2.45619389785533";"1.01887761609369";"242"
"18";"comedy";"0.11983116566985";"2.45619389785533";"1.01887761609369";"243"
"19";"espetáculo";"0.0610293423410702";"2.40718027393953";"1.00746246159198";"253"
"20";"reginaldo";"1.77658338941279";"-0.888977738995576";"1.00577888573251";"262"
"21";"madrugada";"1.96066696982867";"-1.26066347642345";"0.996838077569714";"269"
"22";"borges";"1.96066696982867";"-1.26066347642345";"0.996838077569714";"272"
"23";"aeroporto";"1.96066696982867";"-1.26066347642345";"0.996838077569714";"273"
"24";"abrigo";"1.96066696982867";"-1.26066347642345";"0.996838077569714";"274"
"25";"conceito";"-0.23297977430283";"2.16211215436054";"0.995588150037683";"275"
"26";"assassino";"-0.23297977430283";"2.16211215436054";"0.995588150037683";"277"
"27";"inaugurar";"-0.23297977430283";"2.16211215436054";"0.995588150037683";"279"
"28";"agressivo";"-0.23297977430283";"2.16211215436054";"0.995588150037683";"281"
"29";"trajetória";"-0.40830192994384";"1.75706867549283";"0.983879645196823";"286"
"30";"figura";"-0.17417795097405";"2.21112577827634";"0.983229172705664";"290"
"31";"psicopatia";"-0.17417795097405";"2.21112577827634";"0.983229172705664";"291"
"32";"state";"0.11983116566985";"2.45619389785533";"0.963893559046901";"298"
"33";"comparação";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"310"
"34";"ensaio";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"311"
"35";"brilhar";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"312"
"36";"áfrica";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"313"
"37";"impactar";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"314"
"38";"bonde";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"315"
"39";"villa_lobos";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"317"
"40";"primário";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"318"
"41";"manipulador";"-0.23297977430283";"2.16211215436054";"0.946445591048756";"320"
