de;10461;pre
a;5443;art_def
o;4611;art_def
em;4567;pre
que;3508;pro_rel
ser;2726;ver_sup
para;1512;pre
um;1472;art_def
por;1426;pre
com;1308;pre
uma;1247;art_def
não;1157;adv
ir;1153;ver_sup
ter;1071;ver_sup
se;801;pro_per
estar;771;ver_sup
ele;639;pro_per
como;584;adv
mais;583;adv
fazer;505;ver_sup
_;461;nr
ao;449;adv
poder;415;ver_sup
outro;352;pro_ind
sua;349;pro_pos
eu;339;pro_per
também;325;adv
ela;324;pro_per
haver;320;ver_sup
todo;311;pro_ind
seu;307;pro_pos
pessoa;294;nom_sup
muito;294;adv
isso;289;pro_ind
já;256;adv
quando;240;adv
sobre;229;pre
você;211;pro_per
ainda;209;adv
ver;197;ver_sup
esse;196;pro_dem
até;192;adv
dois;180;adj_num
entre;174;pre
essa;166;pro_dem
segundo;162;adj_num
primeiro;156;adj_num
porque;147;adv
depois;145;adv
tudo;141;adv
algum;141;pro_ind
me;137;pro_per
sem;133;pre
tempo;117;nom_sup
trabalho;116;nom_sup
quem;116;pro_ind
além;116;adv
meu;115;pro_pos
após;114;pre
parte;107;nom_sup
muita;106;pro_ind
hoje;104;adv
mil;103;adj_num
durante;103;pre
sempre;102;adv
dever;101;ver_sup
minha;98;pro_pos
então;95;adv
cada;94;pro_ind
assim;91;adv
apenas;88;adv
qual;87;pro_ind
tentar;85;ver_sup
contra;84;pre
três;82;adj_num
tipo;82;nom_sup
nunca;81;adv
desde;80;pre
1;79;num
pouco;73;pro_ind
algo;71;adv
alguma;70;pro_ind
nosso;69;pro_pos
5;69;num
lá;68;adv
dentro;68;adv
antes;68;adv
agora;67;adv
menos;63;adv
hora;60;nom_sup
vário;59;pro_ind
3;59;num
20;59;num
quase;56;adv
qualquer;56;pro_ind
aqui;56;adv
quanto;54;pro_ind
10;54;num
sim;52;adv
nós;52;pro_per
aquele;52;pro_dem
este;51;pro_dem
aí;51;adv
2017;51;num
fim;47;nom_sup
tanto;46;pro_ind
nenhum;46;pro_ind
nossa;45;pro_pos
